Time;Tdry;Iet_h;Iet_n;Igl_h;Idir_n;Idif_h;Tdry_mod;Tdry_Ideal;;;
16/3/2002 21;7,7;0;1382;0;0;0;6,107;3,711;;;
16/3/2002 22;7,6;0;1382;0;0;0;6,11;2,537;;;
16/3/2002 23;7,6;0;1382;0;0;0;6,112;1,547;;;
17/3/2002 00;7,5;0;1381;0;0;0;6,115;0,809;;;
17/3/2002 01;7,5;0;1381;0;0;0;6,117;0,373;;;
17/3/2002 02;7,5;0;1381;0;0;0;6,12;0,27;;;
17/3/2002 03;7,5;0;1381;0;0;0;6,122;0,507;;;
17/3/2002 04;7,4;0;1381;0;0;0;6,125;1,068;;;
17/3/2002 05;7,4;0;1381;0;0;0;6,127;1,916;;;
17/3/2002 06;7,3;3;1381;0;0;0;6,13;2,992;;;
17/3/2002 07;7,5;159;1381;11;0;11;6,133;4,225;;;
17/3/2002 08;7,6;394;1381;49;0;49;6,136;5,531;;;
17/3/2002 09;7,8;600;1381;93;0;93;6,139;6,821;;;
17/3/2002 10;8,1;764;1381;130;0;130;6,142;8,008;;;
17/3/2002 11;8,3;873;1381;156;0;156;6,145;9,012;;;
17/3/2002 12;8,6;921;1381;167;0;167;6,149;9,763;;;
17/3/2002 13;9;905;1381;163;0;163;6,152;10,213;;;
17/3/2002 14;9,4;824;1381;144;0;144;6,155;10,33;;;
17/3/2002 15;9,8;686;1381;112;0;112;6,158;10,107;;;
17/3/2002 16;9,6;499;1381;71;0;71;6,161;9,559;;;
17/3/2002 17;9,3;275;1381;28;0;28;6,164;8,725;;;
17/3/2002 18;9,1;49;1381;3;0;3;6,167;7,661;;;
17/3/2002 19;7,8;0;1381;0;0;0;6,17;6,44;;;
17/3/2002 20;6,6;0;1381;0;0;0;6,173;5,147;;;
17/3/2002 21;5,3;0;1381;0;0;0;6,176;3,868;;;
17/3/2002 22;4,5;0;1381;0;0;0;6,179;2,692;;;
17/3/2002 23;3,6;0;1381;0;0;0;6,182;1,699;;;
18/3/2002 00;2,8;0;1380;0;0;0;6,185;0,958;;;
18/3/2002 01;2,8;0;1380;0;0;0;6,188;0,518;;;
18/3/2002 02;2,9;0;1380;0;0;0;6,191;0,411;;;
18/3/2002 03;2,9;0;1380;0;0;0;6,195;0,644;;;
18/3/2002 04;3,2;0;1380;0;0;0;6,198;1,201;;;
18/3/2002 05;3,5;0;1380;0;0;0;6,202;2,046;;;
18/3/2002 06;3,8;4;1380;0;0;0;6,205;3,12;;;
18/3/2002 07;4,8;167;1380;22;0;22;6,209;4,352;;;
18/3/2002 08;5,7;402;1380;92;0;92;6,213;5,658;;;
18/3/2002 09;6,7;608;1380;172;4;170;6,217;6,948;;;
18/3/2002 10;7,8;771;1380;240;12;233;6,221;8,137;;;
18/3/2002 11;8,9;880;1380;287;37;263;6,225;9,143;;;
18/3/2002 12;10;928;1380;307;39;281;6,229;9,898;;;
18/3/2002 13;10,7;911;1380;300;38;274;6,232;10,352;;;
18/3/2002 14;11,5;830;1380;265;35;244;6,235;10,473;;;
18/3/2002 15;12,2;691;1380;206;19;197;6,238;10,254;;;
18/3/2002 16;11,3;504;1380;131;2;130;6,241;9,711;;;
18/3/2002 17;10,3;281;1380;52;0;52;6,244;8,879;;;
18/3/2002 18;9,4;53;1380;5;0;5;6,247;7,818;;;
18/3/2002 19;9,1;0;1380;0;0;0;6,25;6,599;;;
18/3/2002 20;8,8;0;1380;0;0;0;6,252;5,306;;;
18/3/2002 21;8,5;0;1380;0;0;0;6,255;4,026;;;
18/3/2002 22;8,1;0;1380;0;0;0;6,257;2,849;;;
18/3/2002 23;7,6;0;1380;0;0;0;6,26;1,853;;;
19/3/2002 00;7,2;0;1379;0;0;0;6,262;1,108;;;
19/3/2002 01;7,3;0;1379;0;0;0;6,264;0,665;;;
19/3/2002 02;7,3;0;1379;0;0;0;6,267;0,554;;;
19/3/2002 03;7,4;0;1379;0;0;0;6,269;0,782;;;
19/3/2002 04;6,9;0;1379;0;0;0;6,272;1,336;;;
19/3/2002 05;6,5;0;1379;0;0;0;6,274;2,178;;;
19/3/2002 06;6;5;1379;1;0;1;6,277;3,25;;;
19/3/2002 07;7,4;175;1379;41;0;41;6,281;4,48;;;
19/3/2002 08;8,9;410;1379;181;220;116;6,284;5,786;;;
19/3/2002 09;10,3;615;1379;356;430;163;6,287;7,077;;;
19/3/2002 10;11,5;778;1379;441;366;234;6,29;8,268;;;
19/3/2002 11;12,7;887;1379;427;181;310;6,294;9,276;;;
19/3/2002 12;13,9;934;1379;310;34;287;6,297;10,035;;;
19/3/2002 13;14,5;917;1379;343;23;327;6,3;10,493;;;
19/3/2002 14;15;836;1379;336;74;291;6,303;10,618;;;
19/3/2002 15;15,6;697;1379;286;84;244;6,306;10,403;;;
19/3/2002 16;15;510;1379;220;154;163;6,309;9,863;;;
19/3/2002 17;13,2;287;1379;101;104;79;6,312;9,036;;;
19/3/2002 18;11,5;56;1379;11;0;11;6,316;7,977;;;
19/3/2002 19;10,6;0;1379;0;0;0;6,32;6,759;;;
19/3/2002 20;9,6;0;1379;0;0;0;6,324;5,466;;;
19/3/2002 21;8,7;0;1379;0;0;0;6,327;4,186;;;
19/3/2002 22;7,8;0;1379;0;0;0;6,33;3,007;;;
19/3/2002 23;7;0;1379;0;0;0;6,333;2,009;;;
20/3/2002 00;6,1;0;1379;0;0;0;6,336;1,261;;;
20/3/2002 01;5,3;0;1379;0;0;0;6,338;0,813;;;
20/3/2002 02;4,5;0;1379;0;0;0;6,34;0,698;;;
20/3/2002 03;3,7;0;1379;0;0;0;6,341;0,923;;;
20/3/2002 04;3,8;0;1379;0;0;0;6,342;1,473;;;
20/3/2002 05;3,9;0;1379;0;0;0;6,344;2,311;;;
20/3/2002 06;4;7;1379;1;0;1;6,346;3,381;;;
20/3/2002 07;5,4;183;1379;44;0;44;6,349;4,61;;;
20/3/2002 08;6,9;417;1379;154;83;128;6,353;5,915;;;
20/3/2002 09;8,3;623;1379;244;62;216;6,357;7,207;;;
20/3/2002 10;9,6;785;1379;447;313;268;6,361;8,4;;;
20/3/2002 11;10,9;894;1379;608;618;206;6,366;9,411;;;
20/3/2002 12;12,2;941;1379;684;766;160;6,37;10,173;;;
20/3/2002 13;13;923;1379;664;815;117;6,374;10,635;;;
20/3/2002 14;13,9;842;1379;584;738;132;6,379;10,764;;;
20/3/2002 15;14,7;703;1379;452;634;128;6,384;10,554;;;
20/3/2002 16;13,5;515;1379;262;309;147;6,388;10,018;;;
20/3/2002 17;12,3;292;1379;87;31;80;6,393;9,193;;;
20/3/2002 18;11,1;60;1379;6;0;6;6,398;8,137;;;
20/3/2002 19;9,8;0;1379;0;0;0;6,402;6,921;;;
20/3/2002 20;8,6;0;1379;0;0;0;6,406;5,628;;;
20/3/2002 21;7,3;0;1379;0;0;0;6,41;4,348;;;
20/3/2002 22;6,6;0;1379;0;0;0;6,414;3,167;;;
20/3/2002 23;6;0;1379;0;0;0;6,418;2,166;;;
21/3/2002 00;5,3;0;1378;0;0;0;6,423;1,415;;;
21/3/2002 01;5,5;0;1378;0;0;0;6,428;0,964;;;
21/3/2002 02;5,8;0;1378;0;0;0;6,434;0,844;;;
21/3/2002 03;6;0;1378;0;0;0;6,439;1,065;;;
21/3/2002 04;5,7;0;1378;0;0;0;6,445;1,611;;;
21/3/2002 05;5,4;0;1378;0;0;0;6,451;2,446;;;
21/3/2002 06;5,1;9;1378;2;0;2;6,457;3,514;;;
21/3/2002 07;7,4;191;1378;58;49;51;6,463;4,742;;;
21/3/2002 08;9,6;425;1378;205;292;114;6,469;6,046;;;
21/3/2002 09;11,9;630;1378;340;365;173;6,475;7,339;;;
21/3/2002 10;12,8;793;1378;507;545;192;6,481;8,533;;;
21/3/2002 11;13,8;901;1378;630;695;174;6,485;9,548;;;
21/3/2002 12;14,7;947;1378;687;800;135;6,489;10,313;;;
21/3/2002 13;14,5;929;1378;665;801;123;6,492;10,779;;;
21/3/2002 14;14,3;848;1378;582;712;142;6,496;10,912;;;
21/3/2002 15;14,1;709;1378;447;568;154;6,499;10,706;;;
21/3/2002 16;14;521;1378;279;377;136;6,501;10,174;;;
21/3/2002 17;13,8;298;1378;112;110;88;6,503;9,353;;;
21/3/2002 18;13,6;64;1378;11;0;11;6,505;8,299;;;
21/3/2002 19;12,9;0;1378;0;0;0;6,508;7,084;;;
21/3/2002 20;12,1;0;1378;0;0;0;6,511;5,792;;;
21/3/2002 21;11,4;0;1378;0;0;0;6,514;4,511;;;
21/3/2002 22;11,3;0;1378;0;0;0;6,517;3,328;;;
21/3/2002 23;11,2;0;1378;0;0;0;6,52;2,325;;;
22/3/2002 00;11,1;0;1377;0;0;0;6,523;1,57;;;
22/3/2002 01;10,5;0;1377;0;0;0;6,525;1,115;;;
22/3/2002 02;9,8;0;1377;0;0;0;6,527;0,992;;;
22/3/2002 03;9,2;0;1377;0;0;0;6,529;1,208;;;
22/3/2002 04;8,8;0;1377;0;0;0;6,531;1,751;;;
22/3/2002 05;8,5;0;1377;0;0;0;6,534;2,583;;;
22/3/2002 06;8,1;12;1377;1;0;1;6,537;3,648;;;
22/3/2002 07;7,5;199;1377;25;0;25;6,54;4,875;;;
22/3/2002 08;6,9;433;1377;73;0;73;6,544;6,179;;;
22/3/2002 09;6,3;638;1377;101;0;101;6,547;7,473;;;
22/3/2002 10;6,2;800;1377;179;1;178;6,552;8,669;;;
22/3/2002 11;6,1;907;1377;256;7;252;6,555;9,685;;;
22/3/2002 12;6;954;1377;319;14;309;6,559;10,454;;;
22/3/2002 13;6,7;935;1377;311;15;301;6,561;10,924;;;
22/3/2002 14;7,4;854;1377;277;14;268;6,562;11,062;;;
22/3/2002 15;8,1;714;1377;217;9;212;6,564;10,859;;;
22/3/2002 16;7,9;526;1377;120;0;120;6,565;10,331;;;
22/3/2002 17;7,6;303;1377;42;0;42;6,566;9,513;;;
22/3/2002 18;7,4;68;1377;4;0;4;6,568;8,462;;;
22/3/2002 19;6,8;0;1377;0;0;0;6,571;7,249;;;
22/3/2002 20;6,3;0;1377;0;0;0;6,574;5,957;;;
22/3/2002 21;5,7;0;1377;0;0;0;6,577;4,675;;;
22/3/2002 22;6;0;1377;0;0;0;6,58;3,491;;;
22/3/2002 23;5,6;0;1377;0;0;0;6,584;2,485;;;
23/3/2002 00;5,2;0;1376;0;0;0;6,586;1,727;;;
23/3/2002 01;5,3;0;1376;0;0;0;6,589;1,268;;;
23/3/2002 02;5,4;0;1376;0;0;0;6,591;1,141;;;
23/3/2002 03;5,5;0;1376;0;0;0;6,593;1,354;;;
23/3/2002 04;5,2;0;1376;0;0;0;6,595;1,892;;;
23/3/2002 05;5;0;1376;0;0;0;6,597;2,721;;;
23/3/2002 06;4,7;14;1376;1;0;1;6,599;3,784;;;
23/3/2002 07;5,4;207;1376;17;0;17;6,603;5,009;;;
23/3/2002 08;6,2;441;1376;58;0;58;6,608;6,313;;;
23/3/2002 09;6,9;645;1376;103;0;103;6,613;7,607;;;
23/3/2002 10;8;807;1376;181;1;181;6,619;8,805;;;
23/3/2002 11;9;914;1376;259;7;255;6,625;9,825;;;
23/3/2002 12;10,1;960;1376;322;14;312;6,63;10,597;;;
23/3/2002 13;11,5;941;1376;314;40;287;6,635;11,07;;;
23/3/2002 14;12,8;859;1376;278;36;255;6,638;11,213;;;
23/3/2002 15;14,2;720;1376;218;21;208;6,641;11,014;;;
23/3/2002 16;13;532;1376;235;188;162;6,644;10,49;;;
23/3/2002 17;11,9;309;1376;123;116;97;6,647;9,675;;;
23/3/2002 18;10,7;72;1376;15;0;15;6,651;8,626;;;
23/3/2002 19;10,1;0;1376;0;0;0;6,654;7,415;;;
23/3/2002 20;9,6;0;1376;0;0;0;6,657;6,124;;;
23/3/2002 21;9;0;1376;0;0;0;6,659;4,841;;;
23/3/2002 22;9,1;0;1376;0;0;0;6,662;3,656;;;
23/3/2002 23;9,1;0;1376;0;0;0;6,665;2,647;;;
24/3/2002 00;9,2;0;1375;0;0;0;6,667;1,886;;;
24/3/2002 01;9,6;0;1375;0;0;0;6,669;1,423;;;
24/3/2002 02;10;0;1375;0;0;0;6,67;1,292;;;
24/3/2002 03;10,4;0;1375;0;0;0;6,672;1,5;;;
24/3/2002 04;10,3;0;1375;0;0;0;6,674;2,035;;;
24/3/2002 05;10,1;0;1375;0;0;0;6,677;2,861;;;
24/3/2002 06;10;17;1375;2;0;2;6,68;3,921;;;
24/3/2002 07;10,5;215;1375;37;0;37;6,685;5,145;;;
24/3/2002 08;11;448;1375;137;21;130;6,691;6,448;;;
24/3/2002 09;11,5;653;1375;260;100;213;6,698;7,744;;;
24/3/2002 10;12,7;814;1375;324;99;265;6,706;8,943;;;
24/3/2002 11;14;921;1375;345;18;333;6,713;9,965;;;
24/3/2002 12;15,2;966;1375;324;14;314;6,72;10,741;;;
24/3/2002 13;15;947;1375;271;7;266;6,726;11,218;;;
24/3/2002 14;14,8;865;1375;199;2;197;6,732;11,365;;;
24/3/2002 15;14,6;725;1375;121;0;121;6,739;11,171;;;
24/3/2002 16;12,3;537;1375;78;0;78;6,745;10,65;;;
24/3/2002 17;10;314;1375;34;0;34;6,751;9,839;;;
24/3/2002 18;7,7;76;1375;4;0;4;6,757;8,792;;;
24/3/2002 19;7,3;0;1375;0;0;0;6,764;7,582;;;
24/3/2002 20;6,8;0;1375;0;0;0;6,77;6,292;;;
24/3/2002 21;6,4;0;1375;0;0;0;6,776;5,009;;;
24/3/2002 22;6,2;0;1375;0;0;0;6,782;3,821;;;
24/3/2002 23;6,1;0;1375;0;0;0;6,789;2,811;;;
25/3/2002 00;5,9;0;1375;0;0;0;6,796;2,046;;;
25/3/2002 01;5,8;0;1375;0;0;0;6,803;1,579;;;
25/3/2002 02;5,6;0;1375;0;0;0;6,81;1,444;;;
25/3/2002 03;5,5;0;1375;0;0;0;6,817;1,648;;;
25/3/2002 04;5,4;0;1375;0;0;0;6,824;2,18;;;
25/3/2002 05;5,3;0;1375;0;0;0;6,831;3,002;;;
25/3/2002 06;5,2;20;1375;1;0;1;6,837;4,06;;;
25/3/2002 07;4,4;223;1375;19;0;19;6,844;5,282;;;
25/3/2002 08;3,7;456;1375;61;0;61;6,85;6,585;;;
25/3/2002 09;2,9;660;1375;106;0;106;6,856;7,881;;;
25/3/2002 10;3,6;821;1375;186;1;185;6,862;9,082;;;
25/3/2002 11;4,2;927;1375;264;7;260;6,866;10,107;;;
25/3/2002 12;4,9;972;1375;327;13;318;6,869;10,887;;;
25/3/2002 13;4,8;953;1375;320;16;309;6,871;11,368;;;
25/3/2002 14;4,7;871;1375;285;15;276;6,872;11,518;;;
25/3/2002 15;4,6;731;1375;225;10;220;6,874;11,328;;;
25/3/2002 16;4,1;542;1375;245;182;172;6,874;10,812;;;
25/3/2002 17;3,7;319;1375;131;111;105;6,876;10,004;;;
25/3/2002 18;3,2;81;1375;17;0;17;6,878;8,96;;;
25/3/2002 19;2,3;0;1375;0;0;0;6,881;7,751;;;
25/3/2002 20;1,5;0;1375;0;0;0;6,884;6,461;;;
25/3/2002 21;0,6;0;1375;0;0;0;6,888;5,178;;;
25/3/2002 22;0,9;0;1375;0;0;0;6,892;3,989;;;
25/3/2002 23;1,3;0;1375;0;0;0;6,896;2,975;;;
26/3/2002 00;1,6;0;1374;0;0;0;6,899;2,207;;;
26/3/2002 01;1,3;0;1374;0;0;0;6,902;1,737;;;
26/3/2002 02;0,9;0;1374;0;0;0;6,905;1,597;;;
26/3/2002 03;0,6;0;1374;0;0;0;6,908;1,798;;;
26/3/2002 04;0,5;0;1374;0;0;0;6,911;2,325;;;
26/3/2002 05;0,3;0;1374;0;0;0;6,913;3,145;;;
26/3/2002 06;0,2;24;1374;1;0;1;6,915;4,2;;;
26/3/2002 07;1;231;1374;32;0;32;6,917;5,421;;;
26/3/2002 08;1,8;464;1374;131;8;128;6,918;6,723;;;
26/3/2002 09;2,6;667;1374;272;87;229;6,919;8,02;;;
26/3/2002 10;3,1;828;1374;335;62;298;6,92;9,223;;;
26/3/2002 11;3,7;934;1374;354;7;349;6,921;10,25;;;
26/3/2002 12;4,2;978;1374;332;13;322;6,921;11,033;;;
26/3/2002 13;4,1;959;1374;444;82;386;6,921;11,518;;;
26/3/2002 14;4,1;876;1374;479;243;323;6,922;11,673;;;
26/3/2002 15;4;736;1374;428;347;241;6,923;11,487;;;
26/3/2002 16;3,7;548;1374;260;179;188;6,924;10,975;;;
26/3/2002 17;3,5;325;1374;103;38;94;6,925;10,17;;;
26/3/2002 18;3,2;85;1374;11;0;11;6,927;9,128;;;
26/3/2002 19;2,5;0;1374;0;0;0;6,928;7,921;;;
26/3/2002 20;1,7;0;1374;0;0;0;6,929;6,632;;;
26/3/2002 21;1;0;1374;0;0;0;6,929;5,348;;;
26/3/2002 22;0,9;0;1374;0;0;0;6,928;4,157;;;
26/3/2002 23;0,8;0;1374;0;0;0;6,928;3,141;;;
27/3/2002 00;0,7;0;1373;0;0;0;6,927;2,37;;;
27/3/2002 01;0;0;1373;0;0;0;6,927;1,896;;;
27/3/2002 02;-0,8;0;1373;0;0;0;6,927;1,752;;;
27/3/2002 03;-1,5;0;1373;0;0;0;6,927;1,948;;;
27/3/2002 04;-1,9;0;1373;0;0;0;6,927;2,472;;;
27/3/2002 05;-2,3;0;1373;0;0;0;6,928;3,288;;;
27/3/2002 06;-2,7;27;1373;5;0;5;6,929;4,342;;;
27/3/2002 07;-1,6;239;1373;62;5;61;6,93;5,561;;;
27/3/2002 08;-0,5;471;1373;155;55;136;6,931;6,863;;;
27/3/2002 09;0,6;674;1373;200;5;198;6,932;8,16;;;
27/3/2002 10;2;834;1373;230;2;229;6,935;9,365;;;
27/3/2002 11;3,1;940;1373;223;3;221;6,937;10,395;;;
27/3/2002 12;4,3;985;1373;183;1;183;6,939;11,181;;;
27/3/2002 13;4,5;965;1373;178;2;177;6,941;11,67;;;
27/3/2002 14;4,8;882;1373;158;0;158;6,942;11,829;;;
27/3/2002 15;5;741;1373;125;0;125;6,943;11,648;;;
27/3/2002 16;4,1;553;1373;82;0;82;6,943;11,139;;;
27/3/2002 17;3,3;330;1373;37;0;37;6,943;10,337;;;
27/3/2002 18;2,4;90;1373;5;0;5;6,943;9,298;;;
27/3/2002 19;2,6;0;1373;0;0;0;6,944;8,093;;;
27/3/2002 20;2,8;0;1373;0;0;0;6,945;6,804;;;
27/3/2002 21;3;0;1373;0;0;0;6,946;5,519;;;
27/3/2002 22;2,9;0;1373;0;0;0;6,947;4,327;;;
27/3/2002 23;2,9;0;1373;0;0;0;6,948;3,309;;;
28/3/2002 00;2,8;0;1372;0;0;0;6,95;2,534;;;
28/3/2002 01;2,7;0;1372;0;0;0;6,951;2,056;;;
28/3/2002 02;2,7;0;1372;0;0;0;6,952;1,908;;;
28/3/2002 03;2,6;0;1372;0;0;0;6,953;2,101;;;
28/3/2002 04;2,6;0;1372;0;0;0;6,954;2,621;;;
28/3/2002 05;2,6;0;1372;0;0;0;6,955;3,434;;;
28/3/2002 06;2,6;31;1372;3;0;3;6,956;4,484;;;
28/3/2002 07;3,5;247;1372;41;0;41;6,958;5,702;;;
28/3/2002 08;4,3;479;1372;120;0;120;6,96;7,004;;;
28/3/2002 09;5,2;682;1372;202;9;197;6,963;8,302;;;
28/3/2002 10;6,6;841;1372;339;91;283;6,966;9,508;;;
28/3/2002 11;8;946;1372;466;105;393;6,97;10,541;;;
28/3/2002 12;9,4;990;1372;558;246;380;6,974;11,33;;;
28/3/2002 13;9,4;970;1372;483;93;417;6,978;11,823;;;
28/3/2002 14;9,4;887;1372;366;54;330;6,982;11,986;;;
28/3/2002 15;9,4;746;1372;231;23;218;6,987;11,809;;;
28/3/2002 16;8,9;558;1372;191;11;187;6,991;11,304;;;
28/3/2002 17;8,3;335;1372;101;25;95;6,996;10,506;;;
28/3/2002 18;7,8;94;1372;15;0;15;7;9,469;;;
28/3/2002 19;7;0;1372;0;0;0;7,004;8,266;;;
28/3/2002 20;6,1;0;1372;0;0;0;7,007;6,977;;;
28/3/2002 21;5,3;0;1372;0;0;0;7,009;5,692;;;
28/3/2002 22;5,2;0;1372;0;0;0;7,011;4,498;;;
28/3/2002 23;5;0;1372;0;0;0;7,012;3,477;;;
29/3/2002 00;4,9;0;1371;0;0;0;7,012;2,699;;;
29/3/2002 01;4,7;0;1371;0;0;0;7,012;2,218;;;
29/3/2002 02;4,5;0;1371;0;0;0;7,011;2,066;;;
29/3/2002 03;4,3;0;1371;0;0;0;7,011;2,254;;;
29/3/2002 04;4;0;1371;0;0;0;7,011;2,77;;;
29/3/2002 05;3,7;0;1371;0;0;0;7,011;3,58;;;
29/3/2002 06;3,4;35;1371;3;0;3;7,012;4,628;;;
29/3/2002 07;3,7;254;1371;49;0;49;7,014;5,844;;;
29/3/2002 08;4,1;486;1371;156;34;143;7,017;7,146;;;
29/3/2002 09;4,4;689;1371;283;88;239;7,02;8,444;;;
29/3/2002 10;5,3;848;1371;433;132;352;7,025;9,652;;;
29/3/2002 11;6,3;953;1371;561;300;352;7,029;10,688;;;
29/3/2002 12;7,2;996;1371;641;412;341;7,035;11,48;;;
29/3/2002 13;7,9;976;1371;662;531;283;7,04;11,977;;;
29/3/2002 14;8,5;892;1371;614;653;188;7,045;12,144;;;
29/3/2002 15;9,2;752;1371;500;685;124;7,051;11,971;;;
29/3/2002 16;8,2;563;1371;331;410;162;7,057;11,47;;;
29/3/2002 17;7,2;340;1371;151;202;100;7,063;10,675;;;
29/3/2002 18;6,2;99;1371;20;0;20;7,069;9,641;;;
29/3/2002 19;5,8;0;1371;0;0;0;7,074;8,439;;;
29/3/2002 20;5,5;0;1371;0;0;0;7,079;7,152;;;
29/3/2002 21;5,1;0;1371;0;0;0;7,083;5,866;;;
29/3/2002 22;3,5;0;1371;0;0;0;7,087;4,67;;;
29/3/2002 23;1,8;0;1371;0;0;0;7,091;3,647;;;
30/3/2002 00;0,2;0;1371;0;0;0;7,094;2,866;;;
30/3/2002 01;0,1;0;1371;0;0;0;7,097;2,38;;;
30/3/2002 02;0;0;1371;0;0;0;7,1;2,224;;;
30/3/2002 03;-0,1;0;1371;0;0;0;7,104;2,408;;;
30/3/2002 04;-0,4;0;1371;0;0;0;7,107;2,921;;;
30/3/2002 05;-0,8;0;1371;0;0;0;7,111;3,728;;;
30/3/2002 06;-1,1;40;1371;8;0;8;7,114;4,773;;;
30/3/2002 07;1;262;1371;91;126;67;7,118;5,988;;;
30/3/2002 08;3;494;1371;245;252;154;7,122;7,289;;;
30/3/2002 09;5,1;696;1371;393;324;228;7,126;8,588;;;
30/3/2002 10;6,4;854;1371;460;231;316;7,13;9,798;;;
30/3/2002 11;7,8;959;1371;442;81;386;7,135;10,836;;;
30/3/2002 12;9,1;1002;1371;342;5;338;7,14;11,632;;;
30/3/2002 13;9,5;981;1371;333;16;321;7,145;12,132;;;
30/3/2002 14;10;898;1371;296;15;286;7,149;12,304;;;
30/3/2002 15;10,4;757;1371;235;10;229;7,154;12,135;;;
30/3/2002 16;10,2;568;1371;156;15;150;7,158;11,638;;;
30/3/2002 17;10,1;345;1371;72;0;72;7,162;10,846;;;
30/3/2002 18;9,9;104;1371;10;0;10;7,166;9,815;;;
30/3/2002 19;9,4;0;1371;0;0;0;7,17;8,614;;;
30/3/2002 20;8,8;0;1371;0;0;0;7,173;7,327;;;
30/3/2002 21;8,3;0;1371;0;0;0;7,176;6,041;;;
30/3/2002 22;8,3;0;1371;0;0;0;7,178;4,844;;;
30/3/2002 23;8,3;0;1371;0;0;0;7,18;3,818;;;
31/3/2002 00;8,3;0;1370;0;0;0;7,182;3,033;;;
31/3/2002 01;8,1;0;1370;0;0;0;7,183;2,544;;;
31/3/2002 02;7,8;0;1370;0;0;0;7,183;2,384;;;
31/3/2002 03;7,6;0;1370;0;0;0;7,183;2,564;;;
31/3/2002 04;7,4;0;1370;0;0;0;7,184;3,073;;;
31/3/2002 05;7,3;0;1370;0;0;0;7,184;3,876;;;
31/3/2002 06;7,1;44;1370;6;0;6;7,186;4,92;;;
31/3/2002 07;7,8;270;1370;54;0;54;7,188;6,133;;;
31/3/2002 08;8,6;501;1370;110;0;110;7,191;7,433;;;
31/3/2002 09;9,3;703;1370;116;0;116;7,195;8,733;;;
31/3/2002 10;10;861;1370;173;0;172;7,199;9,944;;;
31/3/2002 11;10,7;965;1370;223;3;221;7,204;10,985;;;
31/3/2002 12;11,4;1008;1370;259;2;258;7,209;11,784;;;
31/3/2002 13;11,3;987;1370;267;6;262;7,214;12,289;;;
31/3/2002 14;11,3;903;1370;250;7;245;7,22;12,464;;;
31/3/2002 15;11,2;762;1370;208;5;206;7,225;12,3;;;
31/3/2002 16;10,8;573;1370;145;2;145;7,23;11,806;;;
31/3/2002 17;10,3;351;1370;70;0;70;7,235;11,018;;;
31/3/2002 18;9,2;109;1370;10;0;10;7,24;9,989;;;
31/3/2002 19;8,2;0;1370;0;0;0;7,244;8,79;;;
31/3/2002 20;7,1;0;1370;0;0;0;7,248;7,504;;;
31/3/2002 21;6;0;1370;0;0;0;7,25;6,217;;;
31/3/2002 22;5,2;0;1370;0;0;0;7,252;5,018;;;
31/3/2002 23;4,7;0;1370;0;0;0;7,253;3,99;;;
1/4/2002 00;4,5;0;1369;0;0;0;7,254;3,202;;;
1/4/2002 01;4,4;0;1369;0;0;0;7,254;2,709;;;
1/4/2002 02;4,4;0;1369;0;0;0;7,254;2,545;;;
1/4/2002 03;4,3;0;1369;0;0;0;7,254;2,721;;;
1/4/2002 04;4,2;0;1369;0;0;0;7,254;3,226;;;
1/4/2002 05;3,9;0;1369;0;0;0;7,254;4,026;;;
1/4/2002 06;4,3;49;1369;3;0;3;7,255;5,067;;;
1/4/2002 07;4,9;278;1369;41;0;41;7,258;6,278;;;
1/4/2002 08;5,6;508;1369;122;0;122;7,261;7,578;;;
1/4/2002 09;6,2;710;1369;224;6;220;7,265;8,879;;;
1/4/2002 10;6,9;867;1369;249;7;244;7,271;10,092;;;
1/4/2002 11;7,5;971;1369;236;4;233;7,277;11,135;;;
1/4/2002 12;8,2;1014;1369;192;1;192;7,284;11,938;;;
1/4/2002 13;8,7;992;1369;187;1;187;7,291;12,446;;;
1/4/2002 14;9,3;908;1369;168;0;167;7,298;12,626;;;
1/4/2002 15;9,3;767;1369;135;0;135;7,306;12,465;;;
1/4/2002 16;9,7;578;1369;106;0;106;7,313;11,976;;;
1/4/2002 17;10,1;356;1369;59;0;59;7,32;11,191;;;
1/4/2002 18;10,5;114;1369;10;0;10;7,327;10,165;;;
1/4/2002 19;9,9;0;1369;0;0;0;7,333;8,967;;;
1/4/2002 20;9,3;0;1369;0;0;0;7,338;7,681;;;
1/4/2002 21;8,7;0;1369;0;0;0;7,341;6,394;;;
1/4/2002 22;8,6;0;1369;0;0;0;7,343;5,194;;;
1/4/2002 23;8,6;0;1369;0;0;0;7,345;4,163;;;
2/4/2002 00;8,5;0;1368;0;0;0;7,347;3,372;;;
2/4/2002 01;8,3;0;1368;0;0;0;7,349;2,875;;;
2/4/2002 02;8,1;0;1368;0;0;0;7,35;2,707;;;
2/4/2002 03;7,9;0;1368;0;0;0;7,352;2,879;;;
2/4/2002 04;7,4;0;1368;0;0;0;7,354;3,38;;;
2/4/2002 05;7;0;1368;0;0;0;7,356;4,177;;;
2/4/2002 06;6,5;54;1368;13;0;13;7,359;5,215;;;
2/4/2002 07;8,5;285;1368;121;163;87;7,363;6,425;;;
2/4/2002 08;10,6;516;1368;291;428;129;7,369;7,725;;;
2/4/2002 09;12,6;716;1368;456;577;153;7,376;9,026;;;
2/4/2002 10;13,7;874;1368;577;643;165;7,384;10,24;;;
2/4/2002 11;14,7;977;1368;647;608;211;7,393;11,286;;;
2/4/2002 12;15,8;1019;1368;661;520;273;7,403;12,092;;;
